date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:05	18104/18104	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Sep%202017%2021:27:03%20GMT	http://localhost/kemi/public/images/dott.png	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/public/images/dott.html	(from http://localhost/kemi/public/css/style.css)
14:27:06	18104/18104	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Sep%202017%2021:27:05%20GMT	http://localhost/kemi/public/images/pattern.png	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/public/images/pattern.html	(from http://localhost/kemi/public/css/style.css)
14:27:07	18104/18104	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Sep%202017%2021:27:06%20GMT	http://localhost/kemi/public/images/2.jpg	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/public/images/2.html	(from http://localhost/kemi/public/css/style.css)
14:27:09	45404/45404	---M--	200	added ('OK')	application/x-font-ttf	etag:%22b15c-5387bd491a180%22	http://localhost/kemi/public/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/public/fonts/glyphicons-halflings-regular.ttf	(from http://localhost/kemi/public/css/bootstrap.min.css)
14:27:14	152796/152796	---M--	200	added ('OK')	application/x-font-ttf	etag:%22254dc-538c9657fa780%22	http://localhost/kemi/public/fonts/fontawesome-webfont.ttf?v=4.6.3	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/public/fonts/fontawesome-webfont5b62.ttf	(from http://localhost/kemi/public/css/font-awesome.min.css)
14:27:16	39781/39781	---M--	200	added ('OK')	image/jpeg	etag:%229b65-5483185075180%22	http://localhost/kemi/public/images/4.jpg	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/public/images/4.jpg	(from http://localhost/kemi/public/css/style.css)
14:27:18	18104/18104	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Sep%202017%2021:27:16%20GMT	http://localhost/kemi/public/images/6.jpg	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/public/images/6.html	(from http://localhost/kemi/public/css/style.css)
14:27:19	3136/3136	---M--	200	added ('OK')	image/png	etag:%22c40-548aa82b39280%22	http://localhost/kemi/public/images/top-arrow.png	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/public/images/top-arrow.png	(from http://localhost/kemi/public/css/style.css)
14:27:20	3150/3150	---M--	200	added ('OK')	image/png	etag:%22c4e-5483296f8b680%22	http://localhost/kemi/public/images/arrows.png	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/public/images/arrows.png	(from http://localhost/kemi/public/css/flexslider.css)
14:27:21	87397/87397	---M--	200	added ('OK')	image/jpeg	etag:%2215565-5483187883000%22	http://localhost/kemi/public/images/1.jpg	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/public/images/1.jpg	(from http://localhost/kemi/public/css/style.css)
14:27:21	37705/37705	---M--	200	added ('OK')	image/jpeg	etag:%229349-548718a0a7a00%22	http://localhost/kemi/public/images/5.jpg	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/public/images/5.jpg	(from http://localhost/kemi/public/css/style.css)
14:27:21	1784/1784	---M--	200	added ('OK')	application/javascript	etag:%226f8-54881b4de4580%22	http://localhost/kemi/public/js/bars.js	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/public/js/bars.js	(from http://localhost/kemi/about)
14:27:21	18104/18104	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Sep%202017%2021:27:20%20GMT	http://localhost/kemi/public/css/images/load.gif	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/public/css/images/load.html	(from http://localhost/kemi/public/css/smoothbox.css)
14:27:22	93034/93034	---M--	200	added ('OK')	image/jpeg	etag:%2216b6a-54831831f0980%22	http://localhost/kemi/public/images/3.jpg	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/public/images/3.jpg	(from http://localhost/kemi/public/css/style.css)
14:27:23	18971/18971	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Sep%202017%2021:27:21%20GMT	http://localhost/kemi/%20singlepage/16/isaiah	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/%20singlepage/16/isaiah.html	(from http://localhost/kemi/categoris/index/1/0/fashion)
14:27:25	18655/18655	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Sep%202017%2021:27:22%20GMT	http://localhost/kemi/%20categoris/index/1/0	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/%20categoris/index/1/0.html	(from http://localhost/kemi/categoris/index/1/0/fashion)
14:27:25	18730/18730	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Sep%202017%2021:27:22%20GMT	http://localhost/kemi/%20singlepage/6/ooooooo	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/%20singlepage/6/ooooooo.html	(from http://localhost/kemi/categoris/index/2/0/beauty)
14:27:25	21070/21070	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Sep%202017%2021:27:22%20GMT	http://localhost/kemi/%20categoris/index/2/0	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/%20categoris/index/2/0.html	(from http://localhost/kemi/categoris/index/2/0/beauty)
14:27:25	19404/19404	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Sep%202017%2021:27:24%20GMT	http://localhost/kemi/%20singlepage/15/ayomide	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/%20singlepage/15/ayomide.html	(from http://localhost/kemi/categoris/index/3/0/lifestyle)
14:27:27	18539/18539	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Sep%202017%2021:27:25%20GMT	http://localhost/kemi/%20singlepage/14/ioksldknikl	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/%20singlepage/14/ioksldknikl.html	(from http://localhost/kemi/categoris/index/3/0/lifestyle)
14:27:28	18104/18104	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Sep%202017%2021:27:25%20GMT	http://localhost/kemi/public/images/post_images/travel	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/public/images/post_images/travel.html	(from http://localhost/kemi/categoris/index/3/0/lifestyle)
14:27:29	19420/19420	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Sep%202017%2021:27:26%20GMT	http://localhost/kemi/%20singlepage/7/uoeikmoi	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/%20singlepage/7/uoeikmoi.html	(from http://localhost/kemi/categoris/index/3/0/lifestyle)
14:27:30	20990/20990	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Sep%202017%2021:27:28%20GMT	http://localhost/kemi/%20categoris/index/3/0	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/%20categoris/index/3/0.html	(from http://localhost/kemi/categoris/index/3/0/lifestyle)
